000726  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
BC9680  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
1CA532  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
68D482  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
E4EA83  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
84C9C6  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
FC8F7D  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
18C501  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
38E595  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
ECB313  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
B4417A  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
94FBB2  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
30DF8D  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
FC8B97  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
2CAB25  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
AC6E1A  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
94FE9D  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
50DB3F  SHENZHEN GONGJIN ELECTRONICS CO.,LT    
80546A  SHENZHEN GONGJIN ELECTRONICS CO.,LT 
